UMAP1,UMAP2,Hour,Arrest,Time_Period
-2.38039,6.938571,11,True,Day (6AM-6PM)
-1.4026862,4.7168975,0,False,Night (6PM-6AM)
14.5991125,1.6692479,13,False,Day (6AM-6PM)
10.791896,0.90449554,22,False,Night (6PM-6AM)
10.746038,10.428122,17,True,Day (6AM-6PM)
-5.090641,4.0152836,23,True,Night (6PM-6AM)
12.5427,1.1568984,17,False,Day (6AM-6PM)
13.292801,-0.42973512,15,False,Day (6AM-6PM)
11.402813,9.887016,16,False,Day (6AM-6PM)
11.778259,2.6514552,20,True,Night (6PM-6AM)
8.833789,2.9259384,4,False,Night (6PM-6AM)
-1.6405921,4.146773,11,False,Day (6AM-6PM)
7.244783,8.531753,8,False,Day (6AM-6PM)
12.076382,4.0615487,17,True,Day (6AM-6PM)
-4.025735,7.637036,15,False,Day (6AM-6PM)
6.994487,3.3870986,3,False,Night (6PM-6AM)
-4.4129853,4.948064,19,True,Night (6PM-6AM)
8.078006,8.808851,8,False,Day (6AM-6PM)
-3.4966266,5.8135505,7,False,Day (6AM-6PM)
-1.1543883,5.185416,2,False,Night (6PM-6AM)
8.237745,7.107634,9,True,Day (6AM-6PM)
8.026117,5.810923,7,False,Day (6AM-6PM)
8.061754,2.0015917,4,False,Night (6PM-6AM)
8.831646,8.879694,9,True,Day (6AM-6PM)
7.856826,3.8115447,6,True,Day (6AM-6PM)
13.450021,0.1634911,23,False,Night (6PM-6AM)
13.572056,9.205201,22,False,Night (6PM-6AM)
-4.8354087,3.1314957,22,False,Night (6PM-6AM)
11.315852,9.491352,14,False,Day (6AM-6PM)
7.806966,5.2055755,0,False,Night (6PM-6AM)
-4.5497346,8.433884,17,False,Day (6AM-6PM)
13.560854,7.356603,21,True,Night (6PM-6AM)
13.655112,8.626955,16,False,Day (6AM-6PM)
13.532809,5.664475,18,False,Night (6PM-6AM)
11.907328,-0.524563,23,False,Night (6PM-6AM)
-3.3474014,8.613283,17,False,Day (6AM-6PM)
7.9462533,3.9859207,2,False,Night (6PM-6AM)
8.2860565,8.296144,7,False,Day (6AM-6PM)
6.8284626,3.524303,0,False,Night (6PM-6AM)
11.170859,10.658444,13,False,Day (6AM-6PM)
14.213986,4.458065,17,False,Day (6AM-6PM)
13.840449,6.6507826,22,False,Night (6PM-6AM)
8.404438,9.829886,0,True,Night (6PM-6AM)
14.210887,0.014844189,21,False,Night (6PM-6AM)
-5.518003,5.7370124,14,False,Day (6AM-6PM)
13.11925,-0.74818796,16,False,Day (6AM-6PM)
8.517592,5.4000974,0,True,Night (6PM-6AM)
13.400976,7.1077347,19,False,Night (6PM-6AM)
-1.3212119,3.8901222,1,False,Night (6PM-6AM)
-3.5481677,7.2292566,17,False,Day (6AM-6PM)
-2.91289,7.241115,7,False,Day (6AM-6PM)
11.442238,9.241823,20,True,Night (6PM-6AM)
9.757235,4.7981186,3,True,Night (6PM-6AM)
13.811466,3.5736217,12,False,Day (6AM-6PM)
11.55288,1.5656421,23,False,Night (6PM-6AM)
15.092651,6.6922226,17,False,Day (6AM-6PM)
-2.389493,3.7761161,7,False,Day (6AM-6PM)
-2.269023,5.6104107,0,True,Night (6PM-6AM)
-5.031903,3.8569102,18,False,Night (6PM-6AM)
6.864738,4.102995,7,False,Day (6AM-6PM)
8.200914,9.128092,1,True,Night (6PM-6AM)
11.944003,10.553791,17,False,Day (6AM-6PM)
15.476904,3.4163392,14,True,Day (6AM-6PM)
14.799501,-0.82338804,18,False,Night (6PM-6AM)
14.420681,2.0840263,16,True,Day (6AM-6PM)
13.743075,9.380078,16,True,Day (6AM-6PM)
-4.820361,4.631666,23,False,Night (6PM-6AM)
-4.311121,5.639073,19,False,Night (6PM-6AM)
-3.95247,4.679314,21,False,Night (6PM-6AM)
11.304317,11.7435875,17,True,Day (6AM-6PM)
12.186038,0.13596682,18,False,Night (6PM-6AM)
-4.3255515,7.6748796,16,False,Day (6AM-6PM)
13.99565,8.805229,18,False,Night (6PM-6AM)
12.446993,3.6570578,20,False,Night (6PM-6AM)
-4.2745686,5.457106,16,False,Day (6AM-6PM)
9.87952,5.288784,0,False,Night (6PM-6AM)
14.972284,5.8588166,18,False,Night (6PM-6AM)
15.326454,0.056821518,18,False,Night (6PM-6AM)
14.942661,-0.8779311,15,False,Day (6AM-6PM)
-3.2283459,3.771617,21,True,Night (6PM-6AM)
12.29513,1.3588527,21,False,Night (6PM-6AM)
11.284457,5.0816627,11,False,Day (6AM-6PM)
8.693803,4.280829,7,False,Day (6AM-6PM)
-1.5236987,6.0038533,2,False,Night (6PM-6AM)
14.363437,3.5794377,14,False,Day (6AM-6PM)
11.181187,2.0053322,17,False,Day (6AM-6PM)
13.167233,0.8586027,19,False,Night (6PM-6AM)
11.296417,9.368846,14,False,Day (6AM-6PM)
12.971703,5.6631055,12,False,Day (6AM-6PM)
11.359212,2.5499887,14,True,Day (6AM-6PM)
10.788151,1.1845231,20,True,Night (6PM-6AM)
12.095853,2.4485836,17,True,Day (6AM-6PM)
-4.4920063,8.484074,18,False,Night (6PM-6AM)
13.808569,8.757558,15,True,Day (6AM-6PM)
13.9505005,8.682074,15,False,Day (6AM-6PM)
9.652176,1.5807214,8,False,Day (6AM-6PM)
12.692339,8.483987,15,False,Day (6AM-6PM)
8.131463,1.3831147,11,False,Day (6AM-6PM)
-1.8423487,5.0754533,3,False,Night (6PM-6AM)
11.448384,4.8439074,9,False,Day (6AM-6PM)
-4.5930305,4.53438,18,False,Night (6PM-6AM)
14.232199,1.899892,21,False,Night (6PM-6AM)
10.366424,3.0788743,9,True,Day (6AM-6PM)
13.374619,7.2571683,20,True,Night (6PM-6AM)
10.865554,5.31211,4,False,Night (6PM-6AM)
11.507412,9.376102,22,False,Night (6PM-6AM)
12.252039,10.547253,22,False,Night (6PM-6AM)
12.528896,11.269298,18,False,Night (6PM-6AM)
12.181934,-0.28488624,22,False,Night (6PM-6AM)
13.450118,2.280194,13,False,Day (6AM-6PM)
12.681972,3.0248005,14,False,Day (6AM-6PM)
-4.410717,2.6978366,20,False,Night (6PM-6AM)
14.052232,8.933613,22,True,Night (6PM-6AM)
7.9508824,8.23935,1,False,Night (6PM-6AM)
